original address,latitude,longitude
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bangladesh,23.684994,90.356331
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Benin,9.30769,2.315834
Bhutan,27.514162,90.433601
Bolivia (Plurinational State of),-16.29,-63.589
Brazil,-14.235004,-51.92528
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Chad,15.454166,18.732207
Chile,-35.675147,-71.542969
China,35.86166,104.195397
"China, Taiwan Province of",22.615802,120.712002
Colombia,4.570868,-74.297333
Congo,-0.228021,15.827659
Costa Rica,9.748917,-83.753428
Côte d'Ivoire,7.539989,-5.54708
Croatia,45.1,15.2
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Democratic People's Republic of Korea,13.732902,100.617639
Denmark,56.26392,9.501785
Ecuador,-1.831239,-78.183406
Egypt,26.820553,30.802498
Eritrea,15.179384,39.782334
Estonia,58.595272,25.013607
Ethiopia,9.145,40.489673
Europe_Eastern_south,50.984872,-1.305332
Finland,61.92411,25.748151
France,46.227638,2.213749
Georgia,32.165622,-82.900075
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Gibraltar,36.140751,-5.353585
Greece,39.074208,21.824312
Guatemala,15.783471,-90.230759
Guinea,9.945587,-9.696645
Hungary,47.162494,19.503304
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran (Islamic Republic of),38.470354,47.057119
Iraq,33.223191,43.679291
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Japan,36.204824,138.252924
Jordan,30.585164,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Kyrgyzstan,41.20438,74.766098
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Libya,26.3351,17.228331
Lithuania,55.169438,23.881275
Malawi,-13.254308,34.301525
Malta,35.937496,14.375416
Mexico,23.634501,-102.552784
Mongolia,46.862496,103.846656
Montenegro,42.708678,19.37439
Morocco,31.791702,-7.09262
Mozambique,-18.665695,35.529562
Nepal,28.394857,84.124008
Netherlands,52.132633,5.291266
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Norway,60.472024,8.468946
Occupied Palestinian Territory,31.95,35.23
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Republic of Korea,38.914658,-77.05468
